Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,is_date_missing,validate_transaction
TXN_2427584,Sandwich,4,4,16,NULL,Takeaway,"Friday, December 22, 2023",0,yes
TXN_6650263,Tea,2,1.5,NULL,NULL,Takeaway,"Tuesday, January 10, 2023",0,NULL
TXN_9620080,Juice,4,3,12,NULL,Takeaway,"Monday, October 2, 2023",0,yes
TXN_1491578,Cookie,2,1,2,NULL,NULL,"Thursday, February 23, 2023",0,yes
TXN_5455792,Salad,3,5,15,Cash,NULL,"Wednesday, March 22, 2023",0,yes
TXN_8078640,Juice,4,3,12,Digital Wallet,In-store,"Friday, November 3, 2023",0,yes
TXN_9499313,Juice,5,3,15,NULL,NULL,"Thursday, March 2, 2023",0,yes
TXN_8201146,Juice,5,3,15,Cash,NULL,"Monday, June 26, 2023",0,yes
TXN_8230936,Cake,3,3,9,NULL,NULL,"Tuesday, May 2, 2023",0,yes
TXN_7742742,Cake,5,3,15,NULL,Takeaway,"Tuesday, September 5, 2023",0,yes
TXN_6342161,Salad,5,5,25,NULL,Takeaway,"Sunday, January 8, 2023",0,yes
TXN_8914892,NULL,5,5,25,Digital Wallet,NULL,"Wednesday, March 15, 2023",0,yes
TXN_3363746,Smoothie,3,4,12,Credit Card,NULL,"Saturday, November 25, 2023",0,yes
TXN_8614868,Smoothie,5,4,20,Digital Wallet,Takeaway,"Tuesday, December 5, 2023",0,yes
TXN_6421134,Sandwich,4,4,16,Cash,Takeaway,"Friday, November 3, 2023",0,yes
TXN_8813311,Juice,5,3,15,NULL,In-store,"Saturday, October 7, 2023",0,yes
TXN_9023317,Salad,1,5,5,NULL,NULL,"Saturday, September 30, 2023",0,yes
TXN_8051289,NULL,1,3,3,NULL,In-store,"Monday, October 9, 2023",0,yes
TXN_2537617,Sandwich,1,4,4,Cash,NULL,"Saturday, May 27, 2023",0,yes
TXN_9099694,NULL,3,5,15,NULL,Takeaway,"Saturday, November 18, 2023",0,yes
TXN_9230615,Smoothie,4,4,16,Digital Wallet,NULL,"Thursday, June 1, 2023",0,yes
TXN_3068204,Cookie,1,1,1,Credit Card,Takeaway,"Tuesday, October 3, 2023",0,yes
TXN_8471743,NULL,5,3,15,Digital Wallet,In-store,"Thursday, April 6, 2023",0,yes
TXN_2621580,Tea,2,1.5,3,Cash,In-store,"Wednesday, March 22, 2023",0,yes
TXN_4726376,Cake,2,3,6,Credit Card,In-store,"Tuesday, January 31, 2023",0,yes
TXN_6044979,NULL,1,1,1,Cash,In-store,"Friday, December 8, 2023",0,yes
TXN_4238417,Salad,2,5,10,NULL,NULL,"Monday, June 19, 2023",0,yes
TXN_1900620,Smoothie,2,4,8,Credit Card,NULL,"Thursday, December 14, 2023",0,yes
TXN_6420335,Coffee,1,2,2,Cash,Takeaway,"Sunday, July 16, 2023",0,yes
TXN_3858209,Sandwich,4,4,16,Cash,NULL,"Wednesday, February 22, 2023",0,yes
TXN_2091733,Salad,1,5,5,NULL,In-store,NULL,1,yes
TXN_8735480,Tea,5,1.5,7.5,Cash,NULL,"Friday, June 2, 2023",0,yes
TXN_3829165,Juice,4,3,12,Cash,In-store,"Thursday, June 15, 2023",0,yes
TXN_3748616,Coffee,2,2,4,Credit Card,In-store,"Saturday, December 9, 2023",0,yes
TXN_1993289,Sandwich,2,4,8,NULL,In-store,"Tuesday, April 18, 2023",0,yes
TXN_2123367,Cookie,2,1,2,NULL,NULL,"Tuesday, November 7, 2023",0,yes
TXN_5266394,Cake,3,3,9,Cash,In-store,"Saturday, October 28, 2023",0,yes
TXN_5107946,Cake,4,3,12,Credit Card,NULL,"Friday, December 22, 2023",0,yes
TXN_8718498,Cake,5,3,15,Credit Card,NULL,"Sunday, April 30, 2023",0,yes
TXN_3955361,Cookie,5,1,5,NULL,Takeaway,"Sunday, April 2, 2023",0,yes
TXN_9487821,NULL,1,5,5,Digital Wallet,Takeaway,"Wednesday, May 24, 2023",0,yes
TXN_4132730,NULL,5,1,5,NULL,In-store,"Sunday, March 12, 2023",0,yes
TXN_8976658,Tea,2,1.5,3,Credit Card,In-store,"Wednesday, August 16, 2023",0,yes
TXN_5455936,NULL,5,3,15,NULL,In-store,"Saturday, October 28, 2023",0,yes
TXN_2725602,Juice,5,3,15,Credit Card,NULL,"Sunday, September 10, 2023",0,yes
TXN_3011323,Coffee,3,2,6,Credit Card,NULL,"Tuesday, March 7, 2023",0,yes
TXN_6289610,Juice,3,3,NULL,Cash,Takeaway,"Monday, August 7, 2023",0,NULL
TXN_8268061,Salad,3,5,15,NULL,Takeaway,"Sunday, August 20, 2023",0,yes
TXN_5220895,Salad,5,5,25,Cash,In-store,"Saturday, June 10, 2023",0,yes
TXN_3085509,Coffee,4,2,8,Digital Wallet,In-store,"Saturday, April 15, 2023",0,yes
TXN_9999113,Juice,4,3,12,Cash,Takeaway,"Saturday, May 27, 2023",0,yes
TXN_8779771,Coffee,4,2,8,Cash,In-store,"Tuesday, July 25, 2023",0,yes
TXN_9517146,NULL,5,5,25,Cash,Takeaway,"Monday, October 30, 2023",0,yes
TXN_1621920,Salad,3,5,15,NULL,Takeaway,"Saturday, October 28, 2023",0,yes
TXN_3808639,Juice,2,3,6,Digital Wallet,Takeaway,"Friday, December 15, 2023",0,yes
TXN_7028009,Cake,4,3,12,NULL,Takeaway,NULL,1,yes
TXN_6955416,Salad,4,5,20,NULL,In-store,"Saturday, February 25, 2023",0,yes
TXN_3775339,Cookie,3,1,3,Credit Card,NULL,"Monday, April 3, 2023",0,yes
TXN_9547091,Cookie,3,1,3,Credit Card,NULL,"Sunday, October 8, 2023",0,yes
TXN_4358673,Cookie,5,1,5,Digital Wallet,Takeaway,"Thursday, December 28, 2023",0,yes
TXN_4174591,Tea,4,1.5,6,Digital Wallet,NULL,"Wednesday, August 30, 2023",0,yes
TXN_3398520,Sandwich,1,4,4,NULL,In-store,"Friday, February 3, 2023",0,yes
TXN_6171384,Smoothie,2,4,8,Credit Card,NULL,"Tuesday, September 12, 2023",0,yes
TXN_2530938,Smoothie,5,4,20,NULL,Takeaway,"Thursday, April 27, 2023",0,yes
TXN_3314971,Juice,3,3,9,Digital Wallet,NULL,"Thursday, May 4, 2023",0,yes
TXN_3092382,Coffee,5,2,10,Digital Wallet,NULL,"Tuesday, February 21, 2023",0,yes
TXN_1001832,Salad,2,5,10,Cash,Takeaway,NULL,1,yes
TXN_1535311,Juice,3,3,9,Cash,NULL,"Thursday, March 16, 2023",0,yes
TXN_4368416,Salad,2,5,10,Credit Card,Takeaway,"Friday, February 24, 2023",0,yes
TXN_9790731,Cake,2,3,6,NULL,NULL,"Friday, June 2, 2023",0,yes
TXN_9339456,Coffee,3,2,6,NULL,Takeaway,"Wednesday, March 29, 2023",0,yes
TXN_5179020,Cake,2,3,6,NULL,Takeaway,"Sunday, June 18, 2023",0,yes
TXN_6258471,Coffee,5,2,10,Digital Wallet,In-store,"Saturday, September 23, 2023",0,yes
TXN_7945375,Juice,3,3,9,NULL,NULL,"Saturday, January 14, 2023",0,yes
TXN_4685453,Tea,4,1.5,6,Cash,In-store,"Thursday, September 14, 2023",0,yes
TXN_9646452,Juice,5,3,15,Credit Card,NULL,"Saturday, September 16, 2023",0,yes
TXN_9096052,Smoothie,4,4,16,Credit Card,Takeaway,"Thursday, December 28, 2023",0,yes
TXN_5916991,Juice,2,3,6,Digital Wallet,Takeaway,"Monday, February 6, 2023",0,yes
TXN_3407169,Sandwich,2,4,8,Cash,In-store,"Saturday, March 11, 2023",0,yes
TXN_2277042,Tea,1,1.5,1.5,Cash,NULL,"Saturday, April 8, 2023",0,yes
TXN_9273729,Tea,1,1.5,1.5,NULL,NULL,"Tuesday, December 19, 2023",0,yes
TXN_2181545,Juice,4,3,12,Credit Card,Takeaway,"Friday, July 14, 2023",0,yes
TXN_1150033,Juice,5,3,15,Cash,In-store,"Tuesday, April 18, 2023",0,yes
TXN_1443912,Juice,2,3,6,NULL,NULL,"Thursday, June 8, 2023",0,yes
TXN_8700451,Tea,5,1.5,7.5,Credit Card,Takeaway,"Tuesday, December 12, 2023",0,yes
TXN_6380550,Coffee,5,2,10,Cash,In-store,"Thursday, January 5, 2023",0,yes
TXN_4885518,Salad,3,5,15,Credit Card,In-store,"Saturday, June 10, 2023",0,yes
TXN_3972167,Sandwich,5,4,20,NULL,In-store,"Monday, January 23, 2023",0,yes
TXN_4878378,Tea,1,1.5,1.5,Credit Card,NULL,"Monday, February 20, 2023",0,yes
TXN_2368126,Cake,5,3,15,NULL,In-store,"Wednesday, December 6, 2023",0,yes
TXN_7943008,Coffee,1,2,2,Credit Card,NULL,NULL,1,yes
TXN_8495063,Juice,1,3,NULL,Cash,NULL,"Wednesday, May 31, 2023",0,NULL
TXN_4811133,Salad,2,5,10,Cash,NULL,"Friday, August 11, 2023",0,yes
TXN_8729570,Tea,5,1.5,7.5,NULL,In-store,"Sunday, September 3, 2023",0,yes
TXN_7623634,Cake,2,3,NULL,Credit Card,In-store,"Tuesday, July 11, 2023",0,NULL
TXN_3424331,Cake,4,3,12,NULL,NULL,"Wednesday, January 18, 2023",0,yes
TXN_5072031,Cake,2,3,6,Cash,Takeaway,"Thursday, March 23, 2023",0,yes
TXN_8687151,Salad,5,5,25,Cash,NULL,"Saturday, June 10, 2023",0,yes
TXN_5265095,Coffee,1,2,2,NULL,NULL,"Friday, June 23, 2023",0,yes
TXN_4108138,Coffee,5,2,10,Cash,NULL,"Thursday, August 3, 2023",0,yes
TXN_1909796,Smoothie,2,4,8,NULL,Takeaway,"Wednesday, July 12, 2023",0,yes
TXN_1928241,Coffee,3,2,6,Cash,In-store,"Sunday, April 30, 2023",0,yes
TXN_4283157,Salad,5,5,25,Digital Wallet,In-store,"Saturday, November 25, 2023",0,yes
TXN_8013032,Coffee,2,2,4,Credit Card,NULL,"Tuesday, March 7, 2023",0,yes
TXN_8301424,Juice,2,3,6,NULL,NULL,"Tuesday, June 27, 2023",0,yes
TXN_1093800,Sandwich,3,4,12,Cash,Takeaway,NULL,1,yes
TXN_1631695,Tea,2,1.5,3,NULL,In-store,"Tuesday, September 19, 2023",0,yes
TXN_3226832,NULL,5,4,20,Cash,NULL,"Monday, September 4, 2023",0,yes
TXN_1648671,Sandwich,3,4,12,Cash,Takeaway,"Sunday, May 21, 2023",0,yes
TXN_4062737,Cake,3,3,9,Cash,In-store,"Sunday, July 2, 2023",0,yes
TXN_3494565,NULL,2,4,8,NULL,NULL,"Monday, July 10, 2023",0,yes
TXN_9249507,Cookie,4,1,4,Credit Card,In-store,"Tuesday, November 21, 2023",0,yes
TXN_4689500,Sandwich,4,4,16,NULL,NULL,"Saturday, December 2, 2023",0,yes
TXN_8989148,Tea,2,1.5,NULL,NULL,NULL,"Saturday, November 25, 2023",0,NULL
TXN_8316826,Coffee,3,2,6,NULL,In-store,"Monday, April 17, 2023",0,yes
TXN_9836934,Cookie,3,1,3,Digital Wallet,In-store,"Monday, March 13, 2023",0,yes
TXN_8005489,Cake,3,3,9,NULL,In-store,"Saturday, August 12, 2023",0,yes
TXN_6463132,Cookie,5,1,5,Credit Card,Takeaway,NULL,1,yes
TXN_3925836,Cookie,3,1,3,Digital Wallet,In-store,"Thursday, February 16, 2023",0,yes
TXN_3978874,Smoothie,5,4,20,Credit Card,In-store,"Monday, March 13, 2023",0,yes
TXN_8955912,Sandwich,1,4,4,NULL,NULL,"Tuesday, November 7, 2023",0,yes
TXN_1136554,Smoothie,3,4,12,NULL,Takeaway,"Sunday, March 26, 2023",0,yes
TXN_8007337,Cake,2,3,6,Digital Wallet,Takeaway,"Wednesday, November 1, 2023",0,yes
TXN_8129834,Salad,1,5,5,Cash,NULL,"Saturday, July 22, 2023",0,yes
TXN_3831848,NULL,1,4,4,Digital Wallet,Takeaway,"Friday, November 3, 2023",0,yes
TXN_5365809,Cake,3,3,9,Cash,In-store,"Thursday, September 14, 2023",0,yes
TXN_6629480,Smoothie,5,4,20,Credit Card,In-store,"Tuesday, February 28, 2023",0,yes
TXN_3833797,Coffee,4,2,8,NULL,In-store,"Friday, January 27, 2023",0,yes
TXN_2996519,Cake,5,3,15,Cash,NULL,"Thursday, January 19, 2023",0,yes
TXN_8810894,Smoothie,1,4,4,NULL,NULL,"Monday, February 20, 2023",0,yes
TXN_7412722,Juice,4,3,12,Cash,In-store,"Friday, April 7, 2023",0,yes
TXN_3937509,Smoothie,2,4,8,NULL,In-store,"Monday, March 20, 2023",0,yes
TXN_6000201,Cookie,3,1,3,Cash,Takeaway,"Thursday, February 16, 2023",0,yes
TXN_1714274,Cookie,4,1,4,NULL,In-store,"Wednesday, December 27, 2023",0,yes
TXN_5115080,NULL,5,3,15,Credit Card,NULL,"Saturday, February 18, 2023",0,yes
TXN_6311602,Juice,3,3,9,Credit Card,NULL,"Monday, May 15, 2023",0,yes
TXN_2950680,Coffee,2,2,4,Credit Card,Takeaway,"Sunday, December 10, 2023",0,yes
TXN_6749847,Cake,2,3,6,Credit Card,NULL,"Tuesday, August 15, 2023",0,yes
TXN_2143187,Smoothie,1,4,4,NULL,In-store,"Friday, April 21, 2023",0,yes
TXN_8964522,NULL,3,3,9,Credit Card,Takeaway,"Saturday, October 28, 2023",0,yes
TXN_4088917,Coffee,3,2,6,Cash,Takeaway,"Saturday, February 4, 2023",0,yes
TXN_3779366,Cookie,1,1,1,Digital Wallet,In-store,"Saturday, April 15, 2023",0,yes
TXN_7724048,Smoothie,1,4,4,NULL,In-store,"Sunday, November 12, 2023",0,yes
TXN_2698591,Tea,5,1.5,7.5,NULL,NULL,"Saturday, August 5, 2023",0,yes
TXN_3171373,Smoothie,3,4,12,Credit Card,In-store,"Wednesday, May 10, 2023",0,yes
TXN_4129248,Sandwich,2,4,8,Credit Card,NULL,NULL,1,yes
TXN_6498163,Smoothie,5,4,20,NULL,In-store,"Saturday, July 15, 2023",0,yes
TXN_6717827,NULL,3,5,15,Digital Wallet,NULL,"Wednesday, November 15, 2023",0,yes
TXN_3857960,Salad,4,5,20,Cash,In-store,"Wednesday, April 26, 2023",0,yes
TXN_3499124,NULL,4,4,16,Credit Card,NULL,"Friday, August 25, 2023",0,yes
TXN_9250710,Salad,1,5,5,Cash,In-store,"Sunday, May 28, 2023",0,yes
TXN_7058377,Juice,1,3,3,NULL,Takeaway,"Sunday, April 30, 2023",0,yes
TXN_6766492,Salad,1,5,5,NULL,NULL,"Saturday, January 14, 2023",0,yes
TXN_9879996,Coffee,4,2,8,Digital Wallet,In-store,"Wednesday, March 1, 2023",0,yes
TXN_4291940,Cake,3,3,9,Credit Card,In-store,"Monday, November 13, 2023",0,yes
TXN_7433461,Cookie,2,1,2,Digital Wallet,NULL,"Sunday, July 9, 2023",0,yes
TXN_4068262,Salad,2,5,10,Credit Card,NULL,"Saturday, May 13, 2023",0,yes
TXN_5761073,Cookie,1,1,1,Cash,In-store,NULL,1,yes
TXN_5047447,Salad,1,5,5,Digital Wallet,Takeaway,"Wednesday, December 27, 2023",0,yes
TXN_6623508,Cookie,5,1,5,Digital Wallet,Takeaway,"Thursday, May 18, 2023",0,yes
TXN_2651216,NULL,3,4,12,NULL,NULL,"Tuesday, April 4, 2023",0,yes
TXN_8377564,Cake,5,3,15,NULL,In-store,"Friday, July 14, 2023",0,yes
TXN_7031118,Salad,1,5,5,Credit Card,NULL,"Wednesday, March 29, 2023",0,yes
TXN_2230167,Cake,4,3,12,Digital Wallet,Takeaway,"Friday, September 22, 2023",0,yes
TXN_6446616,Tea,3,1.5,4.5,NULL,NULL,"Saturday, September 30, 2023",0,yes
TXN_1721827,Cake,4,3,12,Digital Wallet,NULL,"Tuesday, August 22, 2023",0,yes
TXN_6334895,Smoothie,1,4,4,Credit Card,NULL,"Thursday, July 27, 2023",0,yes
TXN_7077119,NULL,1,4,4,Digital Wallet,In-store,"Saturday, December 30, 2023",0,yes
TXN_4700144,Coffee,4,2,8,NULL,In-store,"Thursday, December 21, 2023",0,yes
TXN_5526852,Sandwich,5,4,NULL,Digital Wallet,In-store,"Thursday, September 28, 2023",0,NULL
TXN_8570890,Juice,4,3,12,NULL,NULL,"Friday, April 14, 2023",0,yes
TXN_3205009,NULL,2,1.5,3,Cash,In-store,"Tuesday, January 3, 2023",0,yes
TXN_3786188,Tea,3,1.5,4.5,Credit Card,In-store,"Friday, October 20, 2023",0,yes
TXN_4530804,Coffee,4,2,8,NULL,NULL,"Thursday, January 12, 2023",0,yes
TXN_9642066,Sandwich,3,4,12,Credit Card,In-store,"Thursday, August 31, 2023",0,yes
TXN_7328294,Juice,2,3,6,Cash,NULL,"Friday, July 7, 2023",0,yes
TXN_1908636,Tea,2,1.5,3,NULL,NULL,NULL,1,yes
TXN_9238066,NULL,5,1.5,7.5,Digital Wallet,In-store,"Friday, September 15, 2023",0,yes
TXN_5415901,Cake,2,3,6,Digital Wallet,NULL,"Saturday, October 21, 2023",0,yes
TXN_6714420,NULL,2,3,6,Credit Card,Takeaway,"Thursday, March 30, 2023",0,yes
TXN_6616971,Juice,2,3,6,Digital Wallet,Takeaway,"Saturday, September 2, 2023",0,yes
TXN_7803615,Salad,3,5,15,Cash,In-store,"Wednesday, December 13, 2023",0,yes
TXN_7549542,Cookie,5,1,5,NULL,Takeaway,NULL,1,yes
TXN_3544789,Tea,4,1.5,NULL,NULL,In-store,"Friday, July 14, 2023",0,NULL
TXN_1583597,Salad,1,5,5,Cash,In-store,"Wednesday, May 10, 2023",0,yes
TXN_8472308,Cookie,2,1,2,Digital Wallet,Takeaway,"Saturday, August 19, 2023",0,yes
TXN_1967565,Smoothie,5,4,20,Credit Card,Takeaway,"Friday, March 31, 2023",0,yes
TXN_2029497,Sandwich,2,4,8,Cash,Takeaway,"Friday, January 6, 2023",0,yes
TXN_8929774,NULL,3,3,9,Cash,NULL,"Monday, October 2, 2023",0,yes
TXN_5003018,Cookie,4,1,NULL,Digital Wallet,NULL,NULL,1,NULL
TXN_7852990,Sandwich,5,4,20,Digital Wallet,Takeaway,"Monday, July 10, 2023",0,yes
TXN_2534066,Salad,2,5,10,Cash,NULL,"Friday, October 13, 2023",0,yes
TXN_2059647,Tea,1,1.5,1.5,Digital Wallet,In-store,"Monday, May 29, 2023",0,yes
TXN_2485183,Smoothie,5,4,20,Cash,In-store,"Friday, July 7, 2023",0,yes
TXN_7374846,Sandwich,1,4,4,Credit Card,NULL,"Monday, May 29, 2023",0,yes
TXN_9401522,Sandwich,4,4,16,Digital Wallet,In-store,"Thursday, November 16, 2023",0,yes
TXN_8250651,Sandwich,4,4,16,Digital Wallet,In-store,"Monday, March 13, 2023",0,yes
TXN_7191245,Cake,4,3,12,NULL,Takeaway,"Monday, May 22, 2023",0,yes
TXN_8982764,Cake,5,3,15,Digital Wallet,Takeaway,"Thursday, November 23, 2023",0,yes
TXN_8669422,NULL,4,3,12,Cash,Takeaway,"Sunday, October 15, 2023",0,yes
TXN_1153869,Smoothie,5,4,20,Credit Card,Takeaway,"Friday, November 3, 2023",0,yes
TXN_5043774,Sandwich,3,4,12,Cash,NULL,"Thursday, June 8, 2023",0,yes
TXN_1746320,Salad,1,5,5,Cash,NULL,"Tuesday, November 14, 2023",0,yes
TXN_1077129,Cookie,1,1,1,NULL,In-store,"Tuesday, September 12, 2023",0,yes
TXN_5616583,Smoothie,1,4,4,NULL,NULL,"Friday, October 13, 2023",0,yes
TXN_2078474,Cookie,2,1,2,NULL,Takeaway,"Friday, November 3, 2023",0,yes
TXN_2130245,Smoothie,5,4,20,Credit Card,NULL,"Monday, November 13, 2023",0,yes
TXN_9076216,Cake,1,3,3,Cash,NULL,"Sunday, December 17, 2023",0,yes
TXN_6371987,Tea,5,1.5,NULL,NULL,Takeaway,"Monday, March 13, 2023",0,NULL
TXN_9913877,NULL,2,2,4,Credit Card,NULL,"Tuesday, May 9, 2023",0,yes
TXN_2084377,Smoothie,1,4,4,Credit Card,NULL,"Sunday, October 22, 2023",0,yes
TXN_1842675,NULL,4,1,4,Credit Card,Takeaway,"Friday, June 23, 2023",0,yes
TXN_8605813,Cookie,1,1,1,NULL,NULL,"Friday, June 30, 2023",0,yes
TXN_9755352,Sandwich,5,4,20,NULL,In-store,"Saturday, May 13, 2023",0,yes
TXN_7550498,Juice,5,3,15,NULL,In-store,NULL,1,yes
TXN_6953697,NULL,3,4,12,NULL,Takeaway,"Saturday, May 27, 2023",0,yes
TXN_7557340,Tea,5,1.5,7.5,Credit Card,In-store,"Monday, December 11, 2023",0,yes
TXN_1157817,Smoothie,1,4,4,Digital Wallet,In-store,"Tuesday, April 25, 2023",0,yes
TXN_2020318,Tea,3,1.5,4.5,Digital Wallet,In-store,"Thursday, October 12, 2023",0,yes
TXN_8692094,Coffee,5,2,10,NULL,Takeaway,"Wednesday, August 30, 2023",0,yes
TXN_5307411,Cake,3,3,NULL,Digital Wallet,Takeaway,"Saturday, October 21, 2023",0,NULL
TXN_9703120,Coffee,3,2,6,Credit Card,NULL,"Thursday, November 2, 2023",0,yes
TXN_1289133,Juice,1,3,3,Cash,NULL,"Tuesday, September 19, 2023",0,yes
TXN_2031459,Cake,3,3,9,Cash,Takeaway,"Tuesday, July 4, 2023",0,yes
TXN_1333682,Smoothie,1,4,4,Digital Wallet,NULL,"Saturday, January 28, 2023",0,yes
TXN_1623966,Tea,2,1.5,3,Cash,Takeaway,NULL,1,yes
TXN_4912930,Smoothie,3,4,12,Credit Card,In-store,"Sunday, February 26, 2023",0,yes
TXN_4942692,Coffee,2,2,4,NULL,Takeaway,"Sunday, January 15, 2023",0,yes
TXN_3723007,Tea,3,1.5,4.5,Digital Wallet,In-store,"Thursday, May 18, 2023",0,yes
TXN_7922392,Sandwich,3,4,12,NULL,NULL,"Wednesday, May 3, 2023",0,yes
TXN_7498727,Salad,3,5,15,Cash,NULL,"Monday, November 6, 2023",0,yes
TXN_1222338,Cookie,1,1,1,NULL,In-store,"Wednesday, October 11, 2023",0,yes
TXN_6878866,Smoothie,3,4,12,Credit Card,NULL,"Saturday, February 25, 2023",0,yes
TXN_1260335,Cookie,4,1,4,Digital Wallet,In-store,NULL,1,yes
TXN_9223242,Smoothie,2,4,8,NULL,NULL,"Sunday, September 10, 2023",0,yes
TXN_6244211,Smoothie,2,4,8,NULL,NULL,"Friday, August 11, 2023",0,yes
TXN_5446858,NULL,1,1,1,Cash,In-store,"Tuesday, November 7, 2023",0,yes
TXN_4612864,Tea,3,1.5,4.5,NULL,NULL,"Tuesday, February 14, 2023",0,yes
TXN_3047598,Cookie,1,1,1,NULL,NULL,"Wednesday, September 6, 2023",0,yes
TXN_7496926,Sandwich,3,4,12,NULL,In-store,"Sunday, April 23, 2023",0,yes
TXN_1726858,Smoothie,3,4,12,Cash,In-store,NULL,1,yes
TXN_7559388,Salad,4,5,20,Digital Wallet,Takeaway,"Sunday, February 26, 2023",0,yes
TXN_8540499,Cookie,3,1,3,Cash,In-store,"Sunday, January 22, 2023",0,yes
TXN_4225756,Cookie,3,1,3,NULL,In-store,"Friday, March 10, 2023",0,yes
TXN_6795640,Cookie,4,1,4,Digital Wallet,Takeaway,"Saturday, January 28, 2023",0,yes
TXN_6702428,Coffee,5,2,10,Cash,Takeaway,"Friday, August 11, 2023",0,yes
TXN_8955259,NULL,2,4,8,Credit Card,NULL,"Saturday, November 18, 2023",0,yes
TXN_4639319,Coffee,5,2,10,Cash,NULL,"Monday, January 9, 2023",0,yes
TXN_5997803,Coffee,5,2,10,NULL,In-store,"Sunday, December 3, 2023",0,yes
TXN_1340956,NULL,4,2,8,NULL,NULL,"Thursday, October 26, 2023",0,yes
TXN_8319993,Juice,1,3,3,Digital Wallet,NULL,"Sunday, August 6, 2023",0,yes
TXN_8894157,Sandwich,4,4,16,Credit Card,NULL,NULL,1,yes
TXN_5523450,Salad,5,5,25,Credit Card,Takeaway,"Sunday, July 2, 2023",0,yes
TXN_7838964,Sandwich,3,4,12,Credit Card,In-store,"Thursday, June 15, 2023",0,yes
